Hospital Name,Address,Mobile Number,Location,,
AIIMS Raipur,"Gate No, 1, Great Eastern Rd, opposite Gurudwara, AIIMS Campus, Tatibandh, Raipur, Chhattisgarh 492099",0771-12572240,"21.25715151144574, 81.57947064466053",,
Suyash Hospital,"Kota Gudhiyari Road, Behind Hotel Piccadilly Gudhiyari, Raipur - 492009",0771-2575275,"21.256866257332472, 81.6068574089456",,
Dr M R bhagwat hospital,"Plot No 7, South Avenew Road, Choubey Colony, Samta Colony, Opposite Rajkumar Colony, Near ICICI Bank , Raipur - 492010",0771-4044481,"21.24434283803778, 81.61427557437496",,
Shree Narayan Hospital,"Near Ganj Mandi, Behind Sector 5, Devendra Nagar Pandri, Raipur - 492004",0771-3001234,"21.264223179903286, 81.64949884831063",,
Chhattisgarh Medical Research Centre,"Chobby Colony, Opposite Rajkumar College Raipura, Raipur - 492013",0771-2253690,"21.24752334634499, 81.61456596364683",,
Ramkrishna Care Hospital,"Aurobindo Enclave, NH 43, Dhamtari Road Pachpedi Naka, Raipur - 492001",0771-3003300,"21.213494573314247, 81.65374764966496",,
MMI Narayana Multispeciality Hospital,"Dhamtari Road, Near Lalpur Raipur Ho, Raipur, Chhattisgarh, 492001",0771-4222999,"21.213965221896963, 81.65795767102489",,
Vidya Hospital and kidney centre,"Main Road Shankar Nagar, Raipur - 492004",0771-4055895,"21.24990652429566, 81.66147424830629",,
Shri Medishine Hospital and research Hospital,"New Rajendra Nagar, Amlidih Raipur Ho, Raipur, Chhattisgarh, 492001",0771-4222999,"21.22120142669503, 81.66567128636814",,
Balco Medical,"Vedanta Medical Research Fonudation, Sector-36, Atal Nagar, Raipur",0771-2237575,"21.123126, 81.774534",,
Us,IIIT-NR,8953146775,"21.127781, 81.7640299",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
