AcX,AcY,AcZ,GyX,GyY,GyZ,Type,Y
-954,603,-83,-468,10084,752,Forward Acc,0
1139,-1402,490,-1128,10284,-196,Forward Acc,0
-541,750,850,1012,10200,1780,Forward Acc,0
-2020,540,52,28,10300,544,Forward Acc,0
-3351,-1075,-5,-68,10732,1140,Forward Acc,0
-4652,262,-90,272,10224,1200,Forward Acc,0
-561,-310,1999,10344,2916,488,Forward Acc,0
-303,117,-599,712,10132,1748,Forward Acc,0
-2623,-542,165,-132,10064,1808,Forward Acc,0
-3510,-1417,25,4,10892,3700,Forward Acc,0
-7426,-1183,-629,1996,10496,4620,Forward Acc,0
3717,193,584,1112,10036,2684,Forward Acc,0
-17466,-2490,-930,224,6848,10224,Forward Acc,0
-992,-64,403,856,10232,972,Forward Acc,0
268,858,5276,16767,-13740,-496,Forward Acc,0
-9137,-951,489,1448,-6944,10428,Forward Acc,0
-2375,-1113,139,568,10028,-1608,Forward Acc,0
-1025,-874,615,1424,10380,3560,Forward Acc,0
-3946,233,352,124,10052,-156,Forward Acc,0
-2995,-1686,88,-408,10068,3800,Forward Acc,0
-2581,-32768,-2529,-10868,-3504,-6396,Falling left,0
-1797,8297,1495,-10476,264,-15172,Falling left,0
4407,-32768,2447,-10020,-3120,-6612,Falling left,0
-972,22220,178,-10348,192,-19572,Falling left,0
-13103,-4319,424,2620,700,10216,Falling left,0
-1064,302,104,-13496,-1204,-15644,Falling left,0
-430,1885,-81,-10720,-280,-13980,Falling left,0
18278,-32768,-5517,-10140,-680,-2204,Falling left,0
2938,-31482,-20588,-10024,-724,-4148,Falling left,0
-753,131,195,-13268,-452,-15196,Falling left,0
-697,162,194,-13388,-500,-15264,Falling left,0
-716,146,205,-13412,-380,-15192,Falling left,0
-683,154,201,-13268,-460,-15304,Falling left,0
-744,512,215,-12964,-312,-15240,Falling left,0
-3993,4109,2139,5556,-2376,10308,Falling left,0
9151,-32768,-6122,-10112,-1464,-8520,Falling left,0
-680,26,211,-13164,-284,-15224,Falling left,0
-659,1036,183,-12196,-260,-15552,Falling left,0
-7700,7990,3399,7644,-3404,10992,Falling left,0
16209,-32768,-6911,-10048,-140,-9356,Falling left,0
-1871,-9641,-1995,2096,436,11240,Falling left,0
-1445,-7135,887,-76,-588,10292,Falling left,0
11644,-32768,-10870,-10300,140,-9200,Falling left,0
13996,-32768,-11426,-9232,1704,-10100,Falling left,0
107,-9961,-2253,1320,-1036,10032,Falling left,0
-2226,15107,2896,-6996,2428,-14416,Falling left,0
12001,-32768,-7919,-10100,-176,-6372,Falling left,0
-685,-228,-937,3852,-1484,15996,Falling left,0
1437,-10123,-2238,968,-1428,10188,Falling left,0
-2630,-6740,-2708,1268,-1968,10432,Falling left,0
11535,-32768,-10185,-10088,396,-8228,Falling left,0
-3869,-5087,-2276,1044,-2072,10704,Falling left,0
1963,-12308,-4117,2208,-1500,10648,Falling left,0
12350,-32768,-7248,-7700,936,-10152,Falling left,0
-443,-11839,-3503,1376,-1788,10188,Falling left,0
